ORF	SD	ABS
YGL111W	0.918	0.833
YGL112C	0.39	0.291
YGL113W	0.365	0.297
YGL114W	0.501	0.372
YGL115W	0.442	0.32
YGL116W	0.601	0.463
YGL117W	0.881	0.68
YGL118C	0.497	0.468
YGL119W	0.376	0.27
YGL120C	1.351	1.104
YGL121C	1.636	1.349
YGL122C	0.429	0.341
YGL123W	1.351	1.12
YGL124C	0.416	0.324
YGL125W	0.634	0.472
YGL126W	0.572	0.401
YGL127C	0.455	0.336
YGL128C	0.43	0.334
YGL129C	0.416	0.315
YGL130W	0.29	0.233
YGL131C	0.509	0.377
YGL132W	0.519	0.394
YGL133W	0.521	0.361
YGL134W	0.612	0.462
YGL135W	1.27	1.059
YGL136C	0.389	0.295
YGL137W	0.688	0.429
YGL138C	0.67	0.685
YGL139W	0.536	0.451
YGL140C	0.37	0.261
YGL141W	0.543	0.387
YGL142C	0.583	0.353
YGL143C	0.489	0.356
YGL144C	0.461	0.336
YGL145W	0.398	0.331
YGL146C	0.823	0.623
YGL147C	1.414	1.105
YGL148W	0.964	0.809
YGL149W	0.496	0.463
YGL150C	0.424	0.31
YGL151W	0.505	0.372
YGL152C	0.496	0.408
YGL153W	0.473	0.357
YGL154C	0.408	0.301
YGL155W	0.336	0.308
YGL156W	1.721	1.512
YGL157W	1.418	1.014
YGL158W	0.977	0.657
YGL159W	0.343	0.264
YGL160W	0.52	0.429
YGL161C	0.433	0.333
YGL162W	0.503	0.4
YGL163C	0.49	0.368
YGL164C	0.43	0.334
YGL165C	0.628	0.429
YGL166W	0.777	0.547
YGL167C	0.442	0.34
YGL168W	0.372	0.268
YGL169W	0.778	0.703
YGL170C	0.695	0.725
YGL171W	1.282	1.196
YGL172W	0.365	0.289
YGL173C	0.565	0.408
YGL174W	0.345	0.259
YGL175C	0.465	0.447
YGL176C	0.343	0.287
YGL177W	1.229	0.642
YGL178W	0.614	0.525
YGL179C	0.55	0.428
YGL180W	1.06	0.937
YGL181W	0.384	0.318
YGL182C	0.531	0.402
YGL183C	0.656	0.494
YGL184C	1.281	0.969
YGL185C	0.545	0.444
YGL186C	0.451	0.423
YGL187C	1.002	0.7
YGL188C	0.82	0.529
YGL189C	1.011	0.745
YGL190C	0.402	0.306
YGL191W	0.948	0.715
YGL192W	0.977	0.574
YGL193C	0.82	0.481
YGL194C	0.446	0.364
YGL195W	0.782	0.648
YGL196W	0.536	0.493
YGL197W	0.544	0.424
YGL198W	0.468	0.364
YGL199C	0.571	0.411
YGL200C	0.583	0.421
YGL201C	0.47	0.378
YGL202W	0.957	0.617
YGL203C	0.378	0.285
YGL204C	0.378	0.292
YGL205W	1.094	0.675
YGL206C	0.492	0.33
YGL207W	0.661	0.431
YGL208W	0.922	0.729
YGL209W	0.644	0.482
YGL210W	0.452	0.351
YGL211W	0.442	0.4
YGL212W	0.457	0.374
YGL213C	0.625	0.443
YGL214W	0.405	0.305
YGL215W	0.479	0.341
YGL216W	0.448	0.354
YGL217C	0.359	0.374
YGL218W	0.586	0.481
YGL219C	0.498	0.411
YGL220W	0.415	0.321
YGL221C	0.524	0.379
YGL222C	0.583	0.41
YGL223C	0.475	0.291
YGL224C	0.452	0.341
YGL225W	0.766	0.666
YGL226C-A	0.39	0.294
YGL226W	0.442	0.337
YGL227W	0.557	0.437
YGL228W	0.358	0.281
YGL229C	0.763	0.612
YGL230C	0.516	0.4
YGL231C	0.491	0.339
YGL232W	0.531	0.326
YGL233W	0.434	0.261
YGL234W	1.002	0.819
YGL235W	0.611	0.472
YGL236C	0.51	0.391
YGL237C	0.366	0.275
YGL238W	0.7	0.49
YGL239C	0.624	0.529
YGL240W	0.356	0.283
YGL241W	0.44	0.31
YGL242C	0.648	0.506
YGL243W	0.406	0.325
YGL244W	0.437	0.368
YGL245W	0.995	0.586
YGL246C	0.652	0.5
YGL247W	0.462	0.335
YGL248W	0.909	0.789
YGL249W	0.49	0.371
YGL250W	0.916	0.696
YGL251C	0.489	0.364
YGL252C	0.354	0.296
YGL253W	0.821	0.594
YGL254W	0.474	0.346
YGL255W	1.303	1.004
YGL256W	0.45	0.379
YGL257C	0.458	0.379
YGL258W	0.738	0.592
YGL259W	1.055	0.834
YGL260W	0.516	0.403
YGL261C	0.543	0.392
YGL262W	0.916	0.69
YGL263W	0.601	0.576
YGR001C	0.546	0.378
YGR002C	0.38	0.29
YGR003W	0.499	0.379
YGR004W	0.385	0.387
YGR005C	0.428	0.322
YGR006W	0.493	0.377
YGR007W	0.319	0.257
YGR008C	1.567	1.54
YGR009C	0.412	0.367
YGR010W	0.761	0.564
YGR011W	0.755	0.522
YGR012W	0.357	0.27
YGR013W	0.355	0.302
YGR014W	0.672	0.559
YGR015C	0.419	0.318
YGR016W	0.452	0.345
YGR017W	0.349	0.274
YGR018C	0.377	0.278
YGR019W	1.113	1.138
YGR020C	0.592	0.406
YGR021W	0.553	0.438
YGR022C	0.77	0.551
YGR023W	0.796	0.65
YGR024C	0.391	0.323
YGR025W	0.329	0.247
YGR026W	0.418	0.325
YGR027C	1.016	0.788
YGR028W	0.728	0.694
YGR029W	0.356	0.29
YGR030C	0.681	0.521
YGR031W	0.435	0.321
YGR032W	0.832	0.599
YGR033C	0.361	0.29
YGR034W	1.107	0.895
YGR035C	0.66	0.593
YGR036C	0.376	0.289
YGR037C	0.854	0.613
YGR038W	0.482	0.362
YGR039W	0.42	0.326
YGR040W	0.466	0.351
YGR041W	0.416	0.33
YGR042W	0.65	0.546
YGR043C	2.449	2.226
YGR044C	0.798	0.661
YGR045C	0.556	0.422
YGR046W	0.676	0.489
YGR047C	0.39	0.299
YGR048W	0.568	0.488
YGR049W	0.631	0.493
YGR050C	0.413	0.401
YGR051C	0.726	0.46
YGR052W	1.996	1.504
YGR053C	0.954	0.767
YGR054W	0.683	0.59
YGR055W	1.261	0.771
YGR056W	0.416	0.34
YGR057C	0.435	0.323
YGR058W	0.548	0.322
YGR059W	0.789	0.576
YGR060W	0.368	0.287
YGR061C	0.914	0.792
YGR062C	0.387	0.288
YGR063C	0.443	0.361
YGR064W	0.388	0.348
YGR065C	0.608	0.462
YGR066C	1.364	0.981
YGR067C	1.735	1.055
YGR068C	0.521	0.41
YGR069W	0.558	0.408
YGR070W	0.716	0.556
YGR071C	0.372	0.254
YGR072W	0.435	0.347
YGR073C	0.313	0.288
YGR074W	0.461	0.387
YGR075C	0.491	0.358
YGR076C	0.54	0.437
YGR077C	0.421	0.307
YGR078C	0.539	0.528
YGR079W	1.141	0.854
YGR080W	0.591	0.459
YGR081C	0.725	0.596
YGR082W	0.58	0.419
YGR083C	0.738	0.608
YGR084C	0.479	0.339
YGR085C	1.243	0.949
YGR086C	0.604	0.507
YGR087C	0.887	0.552
YGR088W	2.518	2.261
YGR089W	0.554	0.377
YGR090W	0.838	0.752
YGR091W	0.411	0.291
YGR092W	0.616	0.407
YGR093W	0.532	0.433
YGR094W	1.219	0.867
YGR095C	0.547	0.444
YGR096W	0.567	0.426
YGR097W	0.529	0.433
YGR098C	0.479	0.397
YGR099W	0.407	0.334
YGR100W	0.502	0.389
YGR101W	0.453	0.339
YGR102C	0.818	0.544
YGR103W	1.69	1.595
YGR104C	0.495	0.391
YGR105W	0.421	0.334
YGR106C	0.519	0.404
YGR107W	0.522	0.384
YGR108W	0.833	0.637
YGR109C	0.888	0.765
YGR110W	1.236	0.86
YGR111W	0.718	0.671
YGR112W	0.68	0.575
YGR113W	0.432	0.327
YGR114C	0.525	0.453
YGR115C	0.582	0.45
YGR116W	0.493	0.393
YGR117C	0.409	0.31
YGR118W	1.066	0.827
YGR119C	0.403	0.304
YGR120C	0.463	0.305
YGR121C	0.732	0.536
YGR122W	0.489	0.381
YGR123C	1.178	1.011
YGR124W	1.116	0.78
YGR125W	0.581	0.454
YGR126W	0.562	0.395
YGR127W	0.668	0.623
YGR128C	1.157	1.018
YGR129W	0.459	0.354
YGR130C	0.804	0.709
YGR131W	0.765	0.523
YGR132C	0.503	0.523
YGR133W	0.498	0.372
YGR134W	0.595	0.324
YGR135W	0.633	0.489
YGR136W	0.679	0.532
YGR137W	0.667	0.557
YGR138C	0.966	0.711
YGR139W	0.663	0.519
YGR140W	0.576	0.399
YGR141W	0.632	0.536
YGR142W	1.707	1.324
YGR143W	0.707	0.55
YGR144W	0.921	0.617
YGR145W	1.412	1.256
YGR146C	1.012	0.741
YGR147C	0.435	0.336
YGR148C	1.247	0.987
YGR149W	0.741	0.715
YGR150C	0.45	0.313
YGR151C	0.853	0.612
YGR152C	0.896	0.646
YGR153W	0.718	0.492
YGR154C	0.881	0.547
YGR155W	0.802	0.607
YGR156W	0.442	0.297
YGR157W	0.56	0.461
YGR158C	0.657	0.595
YGR159C	1.232	0.88
YGR160W	1.984	1.815
YGR161C	1.409	1.107
YGR162W	0.923	0.814
YGR163W	0.325	0.294
YGR164W	0.469	0.452
YGR165W	0.464	0.348
YGR166W	0.449	0.346
YGR167W	0.423	0.421
YGR168C	0.405	0.298
YGR169C	0.358	0.268
YGR170W	0.395	0.303
YGR171C	0.392	0.293
YGR172C	0.668	0.478
YGR173W	0.873	0.75
YGR174C	0.844	0.66
YGR175C	0.836	0.608
YGR176W	0.788	0.785
YGR177C	0.97	0.859
YGR178C	0.533	0.365
YGR179C	0.526	0.392
YGR180C	0.761	0.541
YGR181W	0.339	0.3
YGR182C	0.625	0.435
YGR183C	0.937	0.662
YGR184C	0.541	0.363
YGR185C	1.148	0.762
YGR186W	0.319	0.249
YGR187C	0.939	0.884
YGR188C	0.577	0.472
YGR189C	0.854	0.598
YGR190C	0.658	0.554
YGR191W	0.591	0.462
YGR192C	0.683	0.524
YGR193C	0.492	0.366
YGR194C	1.06	0.827
YGR195W	0.524	0.397
YGR196C	0.449	0.318
YGR197C	0.475	0.367
YGR198W	0.607	0.46
YGR199W	0.446	0.334
YGR200C	0.901	0.86
YGR201C	1.414	1.051
YGR202C	0.472	0.336
YGR203W	0.418	0.32
YGR204W	0.723	0.506
YGR205W	0.885	0.659
YGR206W	0.415	0.349
YGR207C	0.645	0.598
YGR208W	0.654	0.479
YGR209C	0.985	1.082
YGR210C	0.543	0.428
YGR211W	0.826	0.648
YGR212W	0.46	0.354
YGR213C	0.665	0.466
YGR214W	1.239	1.006
YGR215W	0.334	0.284
YGR216C	0.447	0.371
YGR217W	0.461	0.371
YGR218W	0.537	0.395
YGR219W	0.384	0.344
YGR220C	0.411	0.336
YGR221C	0.484	0.383
YGR222W	0.412	0.368
YGR223C	0.507	0.47
YGR224W	0.462	0.373
YGR225W	0.93	0.705
YGR226C	0.864	0.648
YGR227W	0.366	0.29
YGR228W	0.71	0.544
YGR229C	0.735	0.523
YGR230W	0.519	0.399
YGR231C	0.481	0.501
YGR232W	0.424	0.362
YGR233C	0.664	0.509
YGR234W	1.402	1.239
YGR235C	0.509	0.391
YGR236C	1.763	1.034
YGR237C	0.657	0.61
YGR238C	0.578	0.412
YGR239C	0.789	0.555
YGR240C	0.73	0.485
YGR241C	0.404	0.324
YGR242W	0.459	0.39
YGR243W	1.938	1.414
YGR244C	1.069	0.959
YGR245C	1.46	1.353
YGR246C	0.31	0.24
YGR247W	0.495	0.385
YGR248W	2.318	2.12
YGR249W	0.951	0.685
YGR250C	1.264	1.022
YGR251W	0.792	0.633
YGR252W	0.462	0.282
YGR253C	0.461	0.427
YGR254W	0.872	0.638
YGR255C	0.626	0.547
YGR256W	1.219	1.072
YGR257C	0.415	0.35
YGR258C	0.595	0.565
YGR259C	0.622	0.439
YGR260W	0.51	0.378
YGR261C	0.577	0.368
YGR262C	0.458	0.374
YGR263C	0.407	0.319
YGR264C	1.298	1.062
YGR265W	0.967	0.833
YGR266W	0.622	0.437
YGR267C	0.389	0.299
YGR268C	0.703	0.507
YGR269W	0.469	0.387
YGR270W	0.356	0.271
YGR271W	0.392	0.313
YGR272C	0.92	0.874
YGR273C	0.583	0.573
YGR274C	0.379	0.307
YGR275W	0.485	0.355
YGR276C	0.384	0.306
YGR277C	0.454	0.339
YGR278W	0.329	0.274
YGR279C	0.805	0.566
YGR280C	1.059	1.087
YGR281W	0.608	0.508
YGR282C	0.45	0.388
YGR283C	0.809	0.673
YGR284C	0.647	0.518
YGR285C	1.193	0.958
YGR286C	0.639	0.545
YGR287C	0.787	0.576
YGR288W	0.648	0.496
YGR289C	1.14	0.784
YGR290W	0.994	0.706
YGR291C	0.69	0.562
YGR292W	0.71	0.497
YGR293C	0.517	0.46
YGR294W	0.471	0.346
YGR295C	0.558	0.521
YGR296W	0.508	0.392
YHL001W	1.043	0.839
YHL002W	0.36	0.312
YHL003C	0.541	0.386
YHL004W	0.374	0.272
YHL005C	0.382	0.28
YHL006C	0.351	0.305
YHL007C	0.463	0.364
YHL008C	0.465	0.341
YHL009C	0.324	0.265
YHL010C	0.552	0.533
YHL011C	0.946	0.776
YHL012W	0.693	0.614
YHL013C	0.645	0.53
YHL014C	0.473	0.388
YHL015W	1.238	0.904
YHL016C	1.302	0.642
YHL017W	0.388	0.281
YHL018W	0.427	0.34
YHL019C	0.456	0.394
YHL020C	0.349	0.279
YHL021C	1.853	1.732
YHL022C	0.783	0.572
YHL023C	0.389	0.291
YHL024W	1.023	0.798
YHL025W	0.475	0.36
YHL026C	0.463	0.407
YHL027W	0.532	0.418
YHL028W	0.816	0.68
YHL029C	0.433	0.341
YHL030W	0.728	0.567
YHL031C	0.58	0.424
YHL032C	0.913	0.606
YHL033C	1.28	1.032
YHL034C	0.633	0.469
YHL035C	0.688	0.546
YHL036W	0.717	0.633
YHL037C	0.541	0.479
YHL038C	0.342	0.269
YHL039W	0.671	0.652
YHL040C	0.688	0.526
YHL041W	0.626	0.57
YHL042W	0.52	0.406
YHL043W	0.576	0.426
YHL044W	0.653	0.554
YHL045W	0.78	0.555
YHL046C	0.504	0.345
YHL047C	0.995	0.728
YHL048W	0.534	0.515
YHL049C	0.601	0.447
YHL050C	0.545	0.422
YHR001W	0.494	0.4
YHR001W-A	1.08	0.875
YHR002W	0.547	0.413
YHR003C	0.376	0.285
YHR004C	0.496	0.372
YHR005C	0.666	0.465
YHR005C-A	0.657	0.491
YHR006W	0.639	0.474
YHR007C	0.595	0.489
YHR008C	0.768	0.667
YHR009C	0.487	0.375
YHR010W	1.168	0.922
YHR011W	0.513	0.413
YHR012W	0.41	0.322
YHR013C	0.685	0.473
YHR014W	0.753	0.538
YHR015W	0.451	0.395
YHR016C	0.826	0.616
YHR017W	0.428	0.376
YHR018C	0.796	0.628
YHR019C	1.071	0.856
YHR020W	1.123	0.968
YHR021C	0.923	0.738
YHR021W-A	0.811	0.575
YHR022C	0.683	0.493
YHR023W	0.673	0.561
YHR024C	0.591	0.379
YHR025W	0.849	0.714
YHR026W	0.575	0.444
YHR027C	0.556	0.422
YHR028C	0.52	0.468
YHR029C	0.946	0.744
YHR030C	0.64	0.527
YHR031C	0.575	0.465
YHR032W	0.507	0.465
YHR033W	0.963	0.645
YHR034C	0.608	0.436
YHR035W	0.569	0.419
YHR036W	0.473	0.383
YHR037W	0.668	0.458
YHR038W	0.434	0.325
YHR039C	0.669	0.475
YHR040W	0.579	0.528
YHR041C	0.479	0.358
YHR042W	0.777	0.714
YHR043C	0.794	0.571
YHR044C	0.539	0.392
YHR045W	0.504	0.361
YHR046C	0.687	0.498
YHR047C	0.759	0.551
YHR048W	0.495	0.376
YHR049C-A	0.666	0.577
YHR049W	0.903	0.681
YHR050W	0.462	0.349
YHR051W	0.853	0.641
YHR052W	1.329	1.083
YHR053C	1.011	0.703
YHR054C	0.637	0.499
YHR055C	1.01	0.699
YHR056C	0.464	0.358
YHR057C	0.455	0.368
YHR058C	0.404	0.312
YHR059W	0.486	0.349
YHR060W	0.498	0.356
YHR061C	0.481	0.408
YHR062C	0.774	0.64
YHR063C	0.839	0.526
YHR064C	1.101	0.852
YHR065C	1.018	0.813
YHR066W	1.199	0.971
YHR067W	0.567	0.382
YHR068W	1.143	0.835
YHR069C	0.673	0.542
YHR070W	0.745	0.642
YHR071W	0.713	0.692
YHR072W	0.569	0.475
YHR073W	0.423	0.287
YHR074W	0.415	0.331
YHR075C	0.725	0.456
YHR076W	0.334	0.241
YHR077C	0.546	0.383
YHR078W	0.453	0.304
YHR079C	0.456	0.33
YHR080C	0.662	0.537
YHR081W	0.724	0.642
YHR082C	0.548	0.47
YHR083W	0.376	0.273
YHR084W	0.681	0.572
YHR085W	0.592	0.521
YHR086W	0.383	0.294
YHR087W	2.126	1.695
YHR088W	1.164	0.969
YHR089C	1.541	1.507
YHR090C	0.477	0.34
YHR091C	0.362	0.284
YHR092C	0.73	0.538
YHR093W	0.514	0.453
YHR094C	1.001	0.865
YHR095W	0.517	0.427
YHR096C	2.192	1.664
YHR097C	1.386	1.186
YHR098C	0.708	0.494
YHR099W	0.528	0.352
YHR100C	0.502	0.398
YHR101C	0.404	0.296
YHR102W	0.512	0.372
YHR103W	0.423	0.314
YHR104W	1.636	1.467
YHR105W	0.591	0.421
YHR106W	0.491	0.394
YHR107C	0.681	0.388
YHR108W	0.604	0.417
YHR109W	0.419	0.324
YHR110W	0.402	0.339
YHR111W	0.414	0.308
YHR112C	0.843	0.769
YHR113W	0.531	0.481
YHR114W	0.451	0.31
YHR115C	0.342	0.266
YHR116W	0.647	0.472
YHR117W	0.512	0.365
YHR118C	0.356	0.324
YHR119W	0.458	0.341
YHR120W	0.696	0.584
YHR121W	0.499	0.334
YHR122W	0.431	0.34
YHR123W	0.758	0.509
YHR124W	0.54	0.369
YHR125W	0.545	0.475
YHR126C	0.593	0.523
YHR127W	0.528	0.416
YHR128W	1.183	0.976
YHR129C	0.496	0.41
YHR130C	0.466	0.38
YHR131C	0.678	0.435
YHR132C	0.393	0.278
YHR133C	0.636	0.499
YHR134W	0.647	0.428
YHR135C	0.393	0.296
YHR136C	0.88	0.632
YHR137W	1.427	1.103
YHR138C	1.53	1.379
YHR139C	2.019	1.22
YHR139C-A	0.488	0.368
YHR140W	1.375	1.124
YHR141C	1.008	0.793
YHR142W	0.433	0.328
YHR143W	0.932	0.644
YHR143W-A	0.897	0.697
YHR144C	0.702	0.57
YHR145C	0.528	0.384
YHR146W	0.491	0.384
YHR147C	0.468	0.369
YHR148W	0.969	0.789
YHR149C	0.95	0.673
YHR150W	0.801	0.569
YHR151C	0.556	0.392
YHR152W	0.518	0.379
YHR153C	0.632	0.528
YHR154W	0.788	0.526
YHR155W	0.374	0.288
YHR156C	0.514	0.368
YHR157W	0.543	0.403
YHR158C	0.402	0.323
YHR159W	0.716	0.488
YHR160C	1.141	0.722
YHR161C	0.584	0.546
YHR162W	0.874	0.61
YHR163W	0.861	0.581
YHR164C	0.639	0.42
YHR165C	0.384	0.308
YHR166C	0.396	0.286
YHR167W	0.437	0.362
YHR168W	0.41	0.302
YHR169W	1.077	0.961
YHR170W	1.396	1.216
YHR171W	0.86	0.73
YHR172W	0.437	0.382
YHR173C	0.485	0.452
YHR174W	0.859	0.653
YHR175W	0.5	0.396
YHR176W	0.761	0.551
YHR177W	0.488	0.389
YHR178W	0.45	0.365
YHR179W	1.191	0.804
YHR180W	0.594	0.497
YHR181W	0.507	0.378
YHR182W	0.346	0.261
YHR183W	0.791	0.58
YHR184W	0.466	0.434
YHR185C	0.691	0.658
YHR186C	0.455	0.336
YHR187W	0.475	0.403
YHR188C	0.388	0.315
YHR189W	0.614	0.474
YHR190W	0.556	0.422
YHR191C	0.521	0.353
YHR192W	0.397	0.271
YHR193C	0.795	0.651
YHR194W	0.553	0.438
YHR195W	0.771	0.613
YHR196W	1.271	1.074
YHR197W	1.159	1.121
YHR198C	0.675	0.533
YHR199C	0.59	0.516
YHR200W	0.448	0.337
YHR201C	0.561	0.406
YHR202W	0.656	0.505
YHR203C	1.269	1.01
YHR204W	0.555	0.496
YHR205W	0.517	0.425
YHR206W	0.548	0.445
YHR207C	0.439	0.382
YHR208W	1.029	0.808
YHR209W	0.969	0.852
YHR210C	0.674	0.479
YHR211W	0.782	0.505
YHR212C	0.517	0.37
YHR213W	0.654	0.432
YHR214C-B	0.88	0.644
YHR214W	0.654	0.481
YHR214W-A	0.626	0.441
YHR215W	1.448	1.293
YHR216W	1.154	0.949
YHR217C	0.565	0.431
YHR218W	0.575	0.446
YHR219W	0.518	0.39
YIL001W	0.497	0.355
YIL002C	0.462	0.343
YIL003W	0.486	0.352
YIL004C	0.381	0.305
YIL005W	0.315	0.241
YIL006W	0.594	0.476
YIL007C	0.606	0.438
YIL008W	0.677	0.559
YIL009C-A	0.603	0.397
YIL009W	0.514	0.453
YIL010W	0.605	0.479
YIL011W	0.696	0.68
YIL012W	0.544	0.522
YIL013C	0.644	0.483
YIL014W	0.313	0.242
YIL015C-A	1.097	0.804
YIL015W	1.211	0.764
YIL016W	0.644	0.527
YIL018W	1.274	1.067
YIL019W	1.078	0.908
YIL020C	0.592	0.558
YIL021W	0.542	0.407
YIL022W	0.357	0.297
YIL023C	0.48	0.382
YIL024C	0.918	0.567
YIL025C	0.543	0.404
YIL026C	0.538	0.374
YIL027C	0.51	0.365
YIL028W	0.522	0.412
YIL029C	0.484	0.383
YIL030C	0.524	0.404
YIL031W	0.401	0.315
YIL032C	0.442	0.415
YIL033C	0.587	0.51
YIL034C	0.556	0.455
YIL035C	0.401	0.298
YIL036W	0.51	0.446
YIL037C	0.48	0.357
YIL038C	0.52	0.434
YIL039W	0.651	0.444
YIL040W	0.474	0.383
YIL041W	0.402	0.337
YIL042C	0.623	0.467
YIL043C	0.533	0.411
YIL044C	0.414	0.32
YIL045W	1.473	0.997
YIL046W	0.657	0.438
YIL047C	0.932	0.6
YIL048W	0.402	0.304
YIL049W	0.402	0.296
YIL050W	0.699	0.507
YIL051C	0.742	0.544
YIL052C	1.136	0.901
YIL053W	1.212	0.849
YIL054W	0.587	0.535
YIL055C	0.679	0.535
YIL056W	0.654	0.494
YIL057C	2.051	1.148
YIL058W	0.442	0.365
YIL059C	0.461	0.349
YIL060W	0.558	0.416
YIL061C	0.401	0.329
YIL062C	0.596	0.455
YIL063C	0.473	0.334
YIL064W	0.86	0.713
YIL065C	0.694	0.54
YIL066C	1.566	1.129
YIL067C	1.197	0.83
YIL068C	0.682	0.434
YIL069C	1.184	0.918
YIL070C	1.412	0.996
YIL071C	0.76	0.605
YIL072W	1.483	1.034
YIL073C	0.657	0.476
YIL074C	0.791	0.51
YIL075C	1.028	0.775
YIL076W	1.319	0.871
YIL077C	0.932	0.718
YIL078W	1.257	0.875
YIL079C	0.896	0.709
YIL080W	0.456	0.342
YIL082W	0.558	0.376
YIL082W-A	0.536	0.418
YIL083C	0.377	0.291
YIL084C	0.311	0.217
YIL085C	0.393	0.345
YIL086C	0.543	0.418
YIL087C	1.048	0.827
YIL088C	0.467	0.441
YIL089W	0.692	0.481
YIL090W	0.548	0.424
YIL091C	0.623	0.531
YIL092W	0.499	0.39
YIL093C	0.677	0.533
YIL094C	0.858	0.597
YIL095W	0.382	0.28
YIL096C	0.889	0.769
YIL097W	1.026	0.82
YIL098C	0.62	0.529
YIL099W	1.193	0.883
YIL100W	0.656	0.462
YIL101C	1.673	1.355
YIL102C	0.715	0.548
YIL103W	0.542	0.468
YIL104C	0.568	0.476
YIL105C	0.609	0.429
YIL106W	0.374	0.296
YIL107C	1.062	0.954
YIL108W	0.531	0.411
YIL109C	0.558	0.417
YIL110W	0.727	0.614
YIL111W	1.087	0.968
YIL112W	0.442	0.375
YIL113W	1.035	0.801
YIL114C	0.518	0.341
YIL115C	0.562	0.464
YIL116W	0.638	0.563
YIL117C	0.938	0.846
YIL118W	0.639	0.474
YIL119C	0.983	0.765
YIL120W	0.741	0.518
YIL121W	0.661	0.504
YIL122W	0.61	0.444
YIL123W	0.697	0.575
YIL124W	0.777	0.822
YIL125W	0.67	0.504
YIL126W	0.439	0.368
YIL127C	0.986	0.876
YIL128W	0.601	0.448
YIL129C	0.473	0.404
YIL130W	0.476	0.384
YIL131C	0.747	0.597
YIL132C	0.364	0.328
YIL133C	1.242	1.03
YIL134W	0.394	0.32
YIL135C	0.506	0.397
YIL136W	1.895	1.619
YIL137C	0.564	0.397
YIL138C	0.666	0.43
YIL139C	0.315	0.244
YIL140W	0.634	0.486
YIL141W	0.548	0.518
YIL142W	0.569	0.443
YIL143C	0.477	0.313
YIL144W	0.464	0.356
YIL145C	0.66	0.492
YIL146C	0.939	0.588
YIL147C	0.478	0.384
YIL148W	0.784	0.638
YIL149C	0.563	0.446
YIL150C	0.447	0.421
YIL151C	0.426	0.329
YIL152W	0.492	0.369
YIL153W	0.56	0.411
YIL154C	0.536	0.402
YIL155C	0.984	0.739
YIL156W	0.382	0.321
YIL157C	0.486	0.379
YIL158W	0.699	0.597
YIL159W	0.488	0.407
YIL160C	0.919	0.682
YIL161W	0.519	0.358
YIL162W	0.878	0.56
YIL163C	0.498	0.388
YIL164C	0.536	0.328
YIL165C	0.711	0.466
YIL166C	0.737	0.533
YIL167W	0.873	0.561
YIL168W	0.689	0.501
YIL169C	0.683	0.555
YIL170W	0.653	0.521
YIL171W	0.55	0.413
YIL172C	0.673	0.489
YIL173W	0.351	0.264
YIL174W	0.468	0.367
YIL175W	0.484	0.369
YIL176C	0.533	0.401
YIL177C	0.47	0.366
YIR001C	0.348	0.268
YIR002C	0.405	0.315
YIR003W	0.493	0.376
YIR004W	0.349	0.283
YIR005W	0.525	0.392
YIR006C	0.434	0.324
YIR007W	0.632	0.492
YIR008C	0.466	0.309
YIR009W	0.442	0.305
YIR010W	0.398	0.319
YIR011C	0.39	0.297
YIR012W	0.962	0.839
YIR013C	0.585	0.528
YIR014W	0.725	0.562
YIR015W	0.442	0.338
YIR016W	0.955	0.774
YIR017C	1.141	0.856
YIR018W	0.711	0.535
YIR019C	0.763	0.517
YIR020C	0.614	0.471
YIR021W	0.408	0.32
YIR022W	0.459	0.365
YIR023W	0.387	0.308
YIR024C	0.509	0.435
YIR025W	0.618	0.431
YIR026C	1.111	0.965
YIR027C	1.204	0.876
YIR028W	1.507	0.832
YIR029W	1.305	0.792
YIR030C	0.911	0.579
YIR031C	1.481	0.775
YIR032C	1.068	0.621
YIR033W	0.627	0.478
YIR034C	0.665	0.453
YIR035C	0.598	0.407
YIR036C	0.615	0.475
YIR037W	0.735	0.893
YIR038C	1.262	1.303
YIR039C	1.23	1.088
YIR040C	0.485	0.374
YIR041W	0.548	0.437
YIR042C	0.853	0.525
YIR043C	0.511	0.529
YIR044C	0.455	0.393
YJL001W	0.601	0.547
YJL002C	0.72	0.522
YJL003W	0.39	0.341
YJL004C	0.366	0.274
YJL005W	0.527	0.356
YJL006C	0.435	0.355
YJL007C	0.513	0.397
YJL008C	0.658	0.498
YJL009W	0.501	0.405
YJL010C	0.858	0.734
YJL011C	0.505	0.415
YJL012C	1.489	1.026
YJL013C	0.362	0.274
YJL014W	0.751	0.549
YJL015C	0.771	0.665
YJL016W	0.663	0.561
YJL017W	0.71	0.625
YJL018W	0.351	0.34
YJL019W	0.462	0.349
YJL020C	0.697	0.543
YJL021C	0.726	0.661
YJL022W	0.503	0.36
YJL023C	0.536	0.38
YJL024C	0.336	0.248
YJL025W	0.479	0.456
YJL026W	0.783	0.583
YJL027C	0.585	0.428
YJL028W	0.593	0.48
YJL029C	0.338	0.245
YJL030W	0.532	0.378
YJL031C	0.561	0.487
YJL032W	0.573	0.46
YJL033W	0.879	0.81
YJL034W	1.163	0.9
YJL035C	0.607	0.462
YJL036W	0.537	0.483
YJL037W	0.676	0.504
YJL038C	0.534	0.429
YJL039C	0.504	0.393
YJL041W	0.368	0.283
YJL042W	0.649	0.519
YJL043W	0.549	0.449
YJL044C	0.313	0.244
YJL045W	1.217	0.822
YJL046W	0.411	0.375
YJL047C	0.424	0.312
YJL048C	0.948	0.846
YJL049W	0.435	0.328
